Target,Table,Dataset,Theme,Subtheme,Tablequeryname,Indicatorcode,DecimalprecisionQuerylevel,IndicatorLabelEN,GlossaryDefinitionConcept1,GlossaryDefinitionConcept2,REGIONALSUMSTATUS
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.M,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, male (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.URBAN,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, urban areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.RURAL,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, rural areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.HIGHSES,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.LOWSES,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, very poor socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.LANGTEST,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.NONLANGTEST,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.NATIVE,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, non-immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.NONNATIVE,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.F,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, female (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.M,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, male (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.URBAN,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, urban areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.RURAL,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, rural areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.HIGHSES,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.LOWSES,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, very poor socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.LANGTEST,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.NONLANGTEST,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.NATIVE,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, non-immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of primary,READ.PRIMARY.NONNATIVE,,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.F,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, female (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.M,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, male (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.URBAN,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, urban areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.RURAL,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, rural areas, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.HIGHSES,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.LOWSES,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, very poor socioeconomic background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.LANGTEST,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, spoke the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.NONLANGTEST,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.NATIVE,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, non-immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading at the end of lower secondary,READ.LOWERSEC.NONNATIVE,,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, immigrant background, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in mathematics in Grade 2 or 3,MATH.G2T3,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in mathematics in Grade 2 or 3,MATH.G2T3.F,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics, female (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
